hour_of_day,avg_delay,num_incidents
0,19.540016849199663,1187
1,19.75664187035069,941
2,25.859782608695653,920
3,22.787337662337663,616
4,17.742441209406493,893
5,19.56437054631829,2105
6,25.239923954372625,2630
7,40.55862329803328,2644
8,25.116270145817346,2606
9,23.16151202749141,2619
10,20.85354691075515,2622
11,21.396442687747037,2530
12,19.465432565168115,2647
13,18.112191958495462,3084
14,19.344853875476492,3935
15,19.115040075436116,4242
16,15.899930183849197,4297
17,19.75254730713246,4122
18,19.348870056497177,3540
19,22.228456178951227,2727
20,20.3441483198146,2589
21,20.761194029850746,2211
22,23.165654334621756,1811
23,22.73985362608117,1503
