Incident,avg_delay,num_incidents
Diversion,118.80331541218638,4464
Road Blocked - NON-TTC Collision,34.78688524590164,183
Operations - Operator,14.843625893566323,10072
Cleaning - Unsanitary,14.7380042462845,2355
Vision,14.111053450960041,1927
Utilized Off Route,13.63914373088685,2616
Mechanical,13.61190044336961,19848
Investigation,12.967156439066551,1157
Collision - TTC,12.62845469838981,4161
Security,12.002275077559462,4835
Emergency Services,11.684035140866404,3301
General Delay,11.02486591906387,4102
