Location,avg_delay,num_incidents
JANE AND STEELES,135.5,58
KEELE AND FINCH,123.5625,32
PIONEER VILLAGE,117.0,29
STEELES AND JANE,97.3103448275862,29
WESTON AND EGLINTON,95.61538461538461,39
YONGE AND GERRARD,95.0,20
PROGRESS AND SHEPPARD,82.72222222222223,36
YONGE AND EGLINTON,77.37931034482759,29
LIBERTY AND ATLANTIC,74.16666666666667,30
AVENUE AND WILSON,69.81818181818181,22
JANE AND SHOREHAM,69.5,34
SHEPPARD AND PROGRESS,62.96,25
STEELES AND NORTHWEST,62.891891891891895,37
KIPLING AND ALBION,61.23809523809524,21
KIPLING LOOP,60.7037037037037,27
TRETHEWEY AND JANE,57.06666666666667,30
BAY AND KING,56.68181818181818,22
BATHURST AND EGLINTON,56.206896551724135,29
BIRCHMOUNT AND STEELES,54.8,25
EGLINTON AND BATHURST,51.91803278688525,61
EGLINTON AND BLACK CRE,49.76,25
CARRIER LOOP,46.529411764705884,34
EGLINTON AND WESTON,44.86486486486486,37
YONGE AND BLOOR,44.84615384615385,26
EXHIBITION LOOP,44.53703703703704,54
WARDEN AND LAWRENCE,44.0,35
PIONEER VILLAGE STATIO,43.33756345177665,788
KENNEDY AND MCNICOLL,43.15384615384615,26
JANE AND FINCH,42.93478260869565,46
PAPE AND O'CONNOR,42.375,40
JANE AND TRETHEWAY,42.32,25
KEELE AND ST CLAIR,41.86842105263158,38
EGLINTON AND DUPLEX,39.509803921568626,51
KEELE AND ANNETTE,38.3,20
SHEPPARD AND KEELE,37.86764705882353,68
LAWRENCE AND WESTON,37.3974358974359,78
LANSDOWNE AND ST CLAIR,37.15,40
LAWRENCE AND VICTORIA,36.02439024390244,41
JANE AND EGLINTON,34.95890410958904,73
BINGHAM LOOP,33.903225806451616,31
JANE AND TRETHEWEY,33.80689655172414,145
EGLINTON AND SCARLETT,33.61904761904762,21
DUPLEX AND EGLINTON,33.57692307692308,26
WILSON AND DUBRAY,33.09090909090909,22
BAY AND FRONT,31.887096774193548,62
O'CONNOR AND PAPE,31.714285714285715,21
SHEPPARD AND JANE,31.302325581395348,86
TRITON AND BRIMLEY,30.666666666666668,42
JANE AND LAWRENCE,30.662650602409638,83
VAUGHAN AND ST CLAIR,30.52,25
NEPTUNE AND BATHURST,29.818181818181817,22
MIDLAND AND EGLINTON,29.59722222222222,72
SHEPPARD AND KENNEDY,29.38095238095238,21
WILSON AND AVENUE,29.375,24
HILDA AND STEELES,29.28205128205128,39
STEELES AND KEELE,29.07843137254902,51
BATHURST AND WILSON,29.04054054054054,148
DUNDAS AND JANE,28.78125,32
ELLESMERE AND MORNINGS,28.52,25
STEELES AND MURRAY ROS,28.434782608695652,23
EVANS AND KIPLING,28.433333333333334,30
JANE AND WESTON,28.355555555555554,45
JANE AND WILSON,28.142857142857142,133
ST CLAIR AND KINGSTON,28.136363636363637,22
MILLWOOD AND OVERLEA,27.9875,80
OVERLEA AND DON MILLS,27.545454545454547,44
SHEPPARD AND KINGSTON,27.38095238095238,21
DON MILLS AND GATEWAY,27.296296296296298,27
DUNDAS AND RUNNYMEDE,27.192307692307693,26
LESLIE AND EGLINTON,27.037037037037038,27
DUFFERIN AND DUNDAS,27.0,28
LANSDOWNE STATION,26.838709677419356,31
LAWRENCE AND RALPH,26.76595744680851,47
MIDLAND AND ELLESMERE,26.743589743589745,39
CALEDONIA AND EGLINTON,26.73913043478261,23
FINCH AND WARDEN,26.605263157894736,38
HIGH PARK STATION,26.53846153846154,39
DANFORTH AND VICTORIA,26.536585365853657,41
ROE LOOP,26.047619047619047,21
MCCOWAN AND ELLESMERE,25.85,20
WILSON AND DUFFERIN,25.757575757575758,66
FRESHMEADOW AND DON MI,25.571428571428573,49
MORNINGSIDE AND ELLESM,25.56451612903226,62
YONGE AND YORK MILLS,25.46153846153846,26
YONGE AND ST CLAIR,25.45,20
JANE AND ST CLAIR,25.4,20
WESTON AND OAK,25.1,20
OLD WESTON AND ST CLAI,25.083333333333332,24
FINCH AND YONGE,25.025,40
YONGE AND CUMMER,24.879310344827587,58
WESTON AND LAWRENCE,24.82608695652174,46
FINCH AND MIDLAND,24.65,20
MARKHAM AND EGLINTON,24.46875,32
MIDDLEFIELD AND STEELE,24.25,20
MARKHAM AND FINCH,24.2,35
WARDEN AND HUNTINGWOOD,24.181818181818183,22
WILSON AND CLAYSON,24.115384615384617,26
FRONT AND BAY,23.930555555555557,144
EGLINTON AND BRIMLEY,23.5,34
ELLESMERE AND MEADOWVA,23.483870967741936,31
DANFORTH AND DAWES,23.40909090909091,22
WESTON AND ROGERS,23.366666666666667,30
