Route,avg_delay,num_incidents
77,136.17741935483872,62
340,117.0,2
202,97.33870967741936,62
28,91.28571428571429,35
121,71.88127853881278,219
55,65.171875,64
YU,64.28571428571429,7
354,64.28571428571429,21
93,61.97727272727273,44
162,58.382716049382715,81
106,54.32085561497326,187
33,53.19444444444444,36
332,53.11666666666667,60
301,52.0,4
87,49.52577319587629,97
307,49.470588235294116,102
14,48.06896551724138,232
315,48.0,11
302,47.78947368421053,19
171,47.457142857142856,35
324,46.214285714285715,14
363,46.16216216216216,37
82,43.3469387755102,49
365,42.111111111111114,9
109,42.02793296089386,179
169,42.022346368715084,179
312,42.0,14
19,41.84426229508197,244
107,41.68484848484849,165
108,40.8359375,384
176,40.642857142857146,14
97,39.722627737226276,411
59,39.559471365638764,227
935,39.03866432337434,569
134,38.82258064516129,248
329,38.74242424242424,66
352,38.55263157894737,38
26,38.46733668341709,199
341,38.03846153846154,26
10,37.09090909090909,11
200,37.0,13
13,36.306451612903224,186
31,36.28235294117647,170
120,36.258823529411764,85
88,35.92307692307692,208
343,35.333333333333336,21
184,34.857142857142854,14
71,34.674157303370784,267
20,34.30731707317073,205
98,34.31351351351351,185
189,34.175,40
130,33.67713004484305,223
322,33.241379310344826,29
50,32.723214285714285,112
115,32.6,15
385,32.59090909090909,22
41,32.18593563766389,839
74,31.72972972972973,74
78,31.60902255639098,133
110,31.237942122186496,311
101,30.974358974358974,39
325,30.333333333333332,27
84,30.129032258064516,620
167,30.046875,64
17,29.90459363957597,283
334,29.891304347826086,46
73,29.723342939481267,347
127,29.2,95
384,29.071428571428573,14
91,28.95729537366548,281
30,28.823529411764707,85
51,28.812244897959182,245
8,28.746575342465754,146
154,28.65671641791045,67
132,28.627118644067796,59
119,27.9375,80
79,27.87378640776699,412
185,27.392156862745097,51
99,27.22222222222222,81
15,26.928,125
113,26.919786096256683,187
9,26.831683168316832,202
80,26.81675392670157,191
96,26.75632911392405,948
56,26.57831325301205,166
11,26.527932960893853,358
396,26.414634146341463,41
335,25.956521739130434,46
94,25.825192802056556,389
68,25.74342105263158,456
46,25.67149758454106,207
160,25.10731707317073,205
395,25.074074074074073,27
LINE 4,25.0,1
69,24.954887218045112,133
122,24.91031390134529,223
42,24.71731448763251,283
161,24.641509433962263,318
57,24.59903381642512,207
61,24.523529411764706,170
67,24.481927710843372,166
64,23.943342776203966,353
40,23.871459694989106,459
38,23.799196787148595,498
104,23.70198675496689,151
111,23.485148514851485,202
126,23.41025641025641,156
23,23.2987012987013,154
48,23.25,48
66,23.213333333333335,150
37,23.164874551971327,558
21,23.08467741935484,248
8600,23.0,1
102,22.87660414610069,1013
83,22.8,85
118,22.690322580645162,310
12,22.658198614318707,433
35,22.483991064780344,1343
49,22.186046511627907,43
131,21.865248226950353,423
337,21.863636363636363,22
47,21.598202824133505,779
135,21.522727272727273,88
117,21.5,2
123,21.41176470588235,391
65,21.1021897810219,274
503,21.0,1
75,20.972602739726028,511
960,20.791891891891893,740
62,20.72641509433962,106
112,20.703071672354948,293
129,20.463265306122448,490
60,20.306397306397308,594
8441,20.0,1
103,20.0,1
3290,20.0,1
1060,20.0,1
RAD 202,20.0,1
968,19.768115942028984,69
336,19.327272727272728,55
996,19.3342175066313,377
LESLIE,19.0,1
941,18.66839378238342,193
128,18.625,32
85,18.575,960
904,18.54074074074074,135
54,18.496272630457934,939
105,18.31451612903226,124
70,18.275862068965516,290
353,18.120689655172413,58
32,17.977603583426653,1786
39,17.848591549295776,568
52,17.480450236966824,1688
133,17.252895752895753,518
